year,total,monthly
2025,658558.57,3495.77
2026,725494.83,3881.41
2027,796431.02,4296.41
2028,871606.66,4743.37
2029,951275.59,5225.23
2030,1035706.87,6003.35
2031,1125185.7,6335.85
2032,1220014.36,6914.49
2033,1320513.29,7572.43
2034,1427022.39,8285.83
2035,1539900.99,9060.48
